NAME,TYPE,COST,STRENGTH,WEAKNESS,OPPORTUNITIES,THREATS,P_LOW,P_HIGH,YEARLY_LOW,YEARLY_HIGH
Asia Pack Ltd.,Trading,33.10,Company with high TTM EPS Growth,Declining Revenue every quarter for the past 2 quarters,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,33.10,33.10,19.60,59.15
ASIAN GRANITO INDIA RE Ltd.,Miscellaneous,40.10,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,36.15,42.30,10.00,64.00
Ashim Investment Company Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Ashika Credit Capital Ltd.,Finance - NBFC,54.31,Strong Annual EPS Growth,Degrowth in Revenue and Profit,Decrease in Provision in recent results ,No Threat for this stock,54.31,54.31,30.10,67.40
Asian Granito India Ltd.,Ceramics/Marble/Granite/Sanitaryware,75.65,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,74.70,78.40,34.05,86.05
ASL Industries Ltd.,Auto Ancillaries - Sheet Metals,,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,Highest Recovery from 52 Week Low ,No Threat for this stock,51.90,51.90,16.65,51.90
Asit C Mehta Financial Services Ltd.,Finance - Others,155.65,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Stock with Low PE (PE < = 10) ,No Threat for this stock,155.65,159.90,85.87,202.48
Ashok Leyland Ltd.,Automobile - Trucks/LCVs,174.40,Stock passes majority of CANSLIM Investment criteria,Companies with High Debt,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,173.05,175.50,133.10,191.50
Associated Alcohol and Breweries Ltd.,Breweries & Distilleries,517.35,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Results Screener: Stocks with upcoming results which are seeing positive shifts in share price ,No Threat for this stock,513.80,522.10,315.00,529.60
ASK Automotive Ltd.,Auto Ancillaries - Brakes,299.90,Company with Zero Promoter Pledge,Low Piotroski Score : Companies with weak financials,RSI indicating price strength ,No Threat for this stock,298.00,308.80,271.40,319.70
Atlas Cycle Industries Ltd.,Cycles,29.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,29.00,29.00,25.00,61.50
Atlas Copco (India) Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Atlas Soya Products Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Atma Steels Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
ATN International Ltd.,Finance - Investment,0.19,New 52 Week High,Inefficient use of assets to generate profits - ROA declining in the last 2 years,Stock with Low PE (PE < = 10) ,No Threat for this stock,0.19,0.19,0.19,0.19
Assambrook Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Atlantic Spinning and Weaving Mills Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Atlas Jewellery India Ltd.,Diamond  &  Jewellery,9.27,Growth in Net Profit with increasing Profit Margin (QoQ),Promoters increased pledged shares QoQ,No Opportunity for this stock,No Threat for this stock,9.27,9.80,8.62,58.10
Aspira Pathlab & Diagnostics  Ltd.,Hospital & Healthcare Services,34.29,Growth in Net Profit with increasing Profit Margin (QoQ),Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Positive Breakout Second Resistance  ( LTP > R2) ,No Threat for this stock,32.60,34.29,22.76,49.50
Avadh Sugar & Energy Ltd.,Sugar,642.65,Growth in Net Profit with increasing Profit Margin (QoQ),Negative Breakdown Second Support (LTP < S2),Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,635.15,658.00,392.00,855.00
Avenue Supermarts Ltd.,Retailing,"3,682.55",Strong Annual EPS Growth,Negative Breakdown First Support (LTP < S1),Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,3677.00,3719.90,3292.00,4206.00
Avon Corporation Ltd.,Engineering,0.17,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.17,0.17,0.17,0.76
Autoline Industries Ltd.,Auto Ancillaries - Sheet Metals,129.05,Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year,Degrowth in Revenue and Profit,Highest Recovery from 52 Week Low ,No Threat for this stock,128.00,132.55,61.35,148.40
AYM Syntex Ltd.,Textiles & Apparel,86.12,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,83.95,86.90,58.00,92.35
Auto Tension Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
NIPPON INDIA NIFTY AUTO ETF,ETF,,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,RSI indicating price strength ,No Threat for this stock,188.61,191.00,120.20,194.50
Axis NIFTY 50 ETF,ETF,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,232.00,236.60,179.30,240.35
Axis NIFTY IT ETF,ETF,,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,RSI indicating price strength ,No Threat for this stock,387.66,390.41,274.64,396.40
Automotive Stampings and Assemblies Ltd.,Auto Ancillaries - Spare Parts & Accessories,452.65,"Strong Momentum: Price above short, medium and long term moving averages",High PE with Negative ROE,RSI indicating price strength ,No Threat for this stock,450.00,468.00,249.00,483.50
Auto Products Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Auto Pins (I) Ltd.,Auto Ancillaries,0.00,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit (QoQ),Highest Recovery from 52 Week Low ,No Threat for this stock,0.00,0.00,7.00,13.30
Ayepee Lamitubes Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Azad Engineering Ltd.,Aerospace & Defence,670.00,Company able to generate Net Cash - Improving Net Cash Flow for last 2 years,Companies with Increasing Debt,No Opportunity for this stock,No Threat for this stock,667.05,677.00,524.00,727.00
AXSENSEX Ltd.,Miscellaneous,,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,RSI indicating price strength ,No Threat for this stock,71.97,72.59,0.00,85.00
Axtel Industries Ltd.,Engineering - Industrial Equipments,721.00,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of assets to generate profits - ROA declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,710.00,769.90,197.50,850.30
Azure Exim Services Ltd.,Edible Oils & Solvent Extraction,5.67,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,5.67,5.67,2.28,5.67
AXISILVER Ltd.,Miscellaneous,,No Strength for this stock,"Weak Momentum: Price below Short, Medium and Long Term Averages",No Opportunity for this stock,No Threat for this stock,72.30,72.97,0.00,79.00
Axis NIFTY Bank ETF,ETF,,No Strength for this stock,"High volume, top losers",No Opportunity for this stock,No Threat for this stock,462.00,469.59,389.79,495.98
Aztecsoft Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Axon Finance Ltd.,Finance - Investment,1.28,New 52 Week High,Decline in Net Profit with falling Profit Margin (QoQ),Positive Breakout Third Resistance ( LTP > R3) ,Red Flag: Large Swings Between Profit and Loss,1.28,1.28,0.35,1.28
Axita Cotton  Ltd.,Textiles,27.38,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,Negative Breakdown Second Support (LTP < S2),No Opportunity for this stock,No Threat for this stock,26.50,27.50,18.56,62.25
Axel Polymers Ltd.,Plastic Products - Others,71.66,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,68.00,71.66,39.81,73.63
Axis NIFTY Healthcare ETF,ETF,,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,110.69,111.95,74.05,113.60
Axis NIFTY India Consumption ETF,ETF,,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,RSI indicating price strength ,No Threat for this stock,96.76,98.42,70.96,102.35
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,ETF,,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,No Opportunity for this stock,No Threat for this stock,11.44,11.80,10.05,13.30
Axiscades Technologies Ltd.,IT Services & Consulting,816.55,"Strong Momentum: Price above short, medium and long term moving averages",High PE with Negative ROE,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,802.20,819.70,248.05,850.00
Axis Mutual Fund - Gold ETF,Gold ETF,53.00,Near 52 Week High,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,52.88,53.23,47.01,55.60
Axis Bank Ltd.,Bank - Private,"1,117.60","Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,1109.10,1126.45,814.30,1151.85
AVS World Trade Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
AVTIL Enterprise Ltd.,,6.42,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,6.42,6.42,0.00,6.42
Avro India Ltd.,Plastic Products,135.00,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Quarterly Net Profit (YoY),Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,126.00,139.50,94.00,154.45
Avikem Resins Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Awas Ayogen Vittnigam Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
AVT Natural Products Ltd.,Vegetable Oils & Products,91.95,Growth in Net Profit with increasing Profit Margin (QoQ),Degrowth in Revenue and Profit,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,92.00,93.50,73.70,105.55
Avon Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
AVI Photochem Ltd.,Trading,30.40,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,"Negative profit growth, promoters decreasing shareholding QoQ",No Opportunity for this stock,No Threat for this stock,30.25,30.40,16.90,36.30
Avonmore Capital & Management Services Ltd.,Finance - Investment,97.72,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Positive Breakout Second Resistance  ( LTP > R2) ,No Threat for this stock,96.50,101.90,58.50,103.70
AVG Logistics Ltd.,Courier Services,430.20,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown First Support (LTP < S1),Highest Recovery from 52 Week Low ,No Threat for this stock,421.55,447.00,105.00,464.00
Aviva Industries Ltd.,Trading,26.42,Effectively using its capital to generate profit - RoCE improving in last 2 years,New 52 week low today,No Opportunity for this stock,Red Flag: Large Swings Between Profit and Loss,26.42,26.42,26.42,31.78
Avery India Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Avon Mercantile Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Bharati Healthcare Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Bhiwani Vanaspati Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
AVI Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
AVSL Industries Ltd.,Plastic Products,,Book Value per share Improving for last 2 years,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,RSI indicating price strength ,No Threat for this stock,0.00,0.00,85.00,185.00
AVI Export (India) Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Bombay Super Hybrid Seeds Ltd.,Agriculture,,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,276.35,284.90,207.40,665.70
Bheema Cements Ltd.,Cement,24.22,Company with Zero Promoter Pledge,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,23.99,24.22,21.00,156.95
Bharti Telecom Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Bijlee Textiles Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
AVI Polymers Ltd.,Speciality Chemicals,11.60,Growth in Net Profit with increasing Profit Margin (QoQ),Negative Breakdown Third Support (LTP < S3),No Opportunity for this stock,No Threat for this stock,11.51,11.60,9.75,20.24
BTW Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Business Forms Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Burroughs Wellcome (India) Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Brilliant Portfolios Ltd.,Finance - Investments,6.98,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,6.98,6.98,5.98,7.16
BSE 200BVRA,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Budge Budge Company Ltd.,Miscellaneous,12.12,High growth stocks with promoters increasing shareholding,Decline in Quarterly Net Profit (YoY),Positive Breakout Third Resistance ( LTP > R3) ,Red Flag: Large Swings Between Profit and Loss,12.12,12.12,10.00,12.12
Bodhi tree Multimedia RE Ltd.,"Film Production, Distribution & Entertainment",,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Bubna Major Bio tech Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Burnpur Cement Ltd.,Cement,7.59,Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years,Red Flag: High Interest Payments Compared to Earnings,Stock with Low PE (PE < = 10) ,No Threat for this stock,6.90,7.55,3.80,8.80
BSI Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Burr-Brown (India) Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
BWL Ltd.,Cables - Telephone,0.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,3.52,27.93
Bharat Sanchar Nigam Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
BSEL ALGO Ltd.,Construction - Real Estate,17.33,Strong Annual EPS Growth,Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,17.23,17.59,4.70,19.74
BSL Ltd.,Textiles & Apparel,207.85,"Strong Momentum: Price above short, medium and long term moving averages",Companies with High Debt,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,204.25,216.30,145.60,238.90
Butterfly Gandhimathi Appliances Ltd.,Domestic Appliances,"1,038.95",Strong Annual EPS Growth,MFs decreased their shareholding last quarter,No Opportunity for this stock,No Threat for this stock,1033.00,1050.50,977.55,1562.90
BSE Sensex,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
BSE PSU,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Bihar Sponge Iron Ltd.,Iron & Steel,16.70,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,Positive Breakout Second Resistance  ( LTP > R2) ,No Threat for this stock,16.70,16.70,7.71,16.70
BSE National Index,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
BSE Ltd.,Finance - Stock Broking,,Company with high TTM EPS Growth,Decline in Net Profit with falling Profit Margin (QoQ),Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,2251.00,2286.10,406.20,2595.00
BSE FMCG Sector,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
BSE Dollex 30,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
BSE Healthcare,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
BSE IT Sector,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
BSE Dollex,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
BSE Capital Goods,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
BSE Consumer Durables,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
BSE 500,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
CNI Research Ltd.,Finance - Investment,3.96,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown Third Support (LTP < S3),Highest Recovery from 52 Week Low ,No Threat for this stock,3.96,3.96,1.61,4.84
Commercial Syn Bags Ltd.,Plastic Products - Others,88.00,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,RSI indicating price strength ,No Threat for this stock,85.51,88.50,50.55,133.75
C & C Constructions Ltd.,Construction - Infrastructure,2.40,Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year,Red Flag: High Interest Payments Compared to Earnings,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,2.23,2.43,2.23,9.07
Command Polymers Ltd.,Miscellaneous,26.00,Company with Low Debt,Near 52 Week Low,No Opportunity for this stock,No Threat for this stock,26.00,28.35,25.40,28.40
City Union Bank Ltd.,Bank - Private,144.00,Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year,MFs decreased their shareholding last quarter,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,143.65,144.95,119.50,167.80
Cyient DLM Ltd.,Electric Equipment,661.85,Growth in Net Profit with increasing Profit Margin (QoQ),MFs decreased their shareholding last quarter,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,659.90,672.10,403.00,778.90
BSE 30PERA,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Cyberwave Internet Solutions Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Cybertech Systems and Software Ltd.,IT Services & Consulting,200.90,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,198.65,205.40,84.80,213.75
Coastal Papers Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Continental Seeds And Chemicals  Ltd.,Food Processing,,Company with Low Debt,Inefficient use of shareholder funds - ROE declining in the last 2 years,No Opportunity for this stock,No Threat for this stock,23.60,23.60,9.80,34.40
BSE 30YIELD,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
